buravtsovps@otus:~/OTUS/module1/lesson10-process$ sudo ./ps_ax.sh 
[sudo] пароль для buravtsovps: 
USER	PID	UID	STAT	TTY	COMMAND
root	1257	0	S	?	(openvpn)
kernoops	1274	113	S	?	(kerneloops)
kernoops	1283	113	S	?	(kerneloops)
root	1394	0	S	?	(dbus-daemon)
systemd-oom
rtkit	1418	116	S	?	(rtkit-daemon)
root	2188	0	S	?	(master)
root	2204	0	S	?	(upowerd)
root	2207	0	S	?	(packagekitd)
cups-pk-helper
colord	2378	122	S	?	(colord)
root	2489	0	S	?	(gdm-session-wor)
buravtsovps	2503	1000	S	?	(systemd)
buravtsovps	2504	1000	S	?	((sd-pam))
buravtsovps	2510	1000	S	?	(pipewire)
buravtsovps	2511	1000	S	?	(pipewire-media-)
buravtsovps	2512	1000	S	?	(pulseaudio)
buravtsovps	2513	1000	S	?	(snapd-desktop-i)
buravtsovps	2523	1000	S	?	(dbus-daemon)
buravtsovps	2526	1000	S	?	(gvfsd)
buravtsovps	2536	1000	S	?	(gvfsd-fuse)
buravtsovps	2538	1000	S	?	(gnome-keyring-d)
buravtsovps	2555	1000	S	?	(xdg-document-po)
buravtsovps	2559	1000	S	?	(xdg-permission-)
buravtsovps	2565	1000	S	?	(fusermount3)
buravtsovps	2569	1000	S	tty2	(gdm-wayland-ses)
buravtsovps	2572	1000	S		(gnome-session-b)
buravtsovps	2625	1000	S	?	(gnome-session-c)
buravtsovps	2637	1000	S	?	(gnome-session-b)
buravtsovps	2656	1000	S	?	(at-spi-bus-laun)
buravtsovps	2660	1000	S	?	(gnome-shell)
buravtsovps	2666	1000	S	?	(dbus-daemon)
buravtsovps	2748	1000	S	?	(gnome-shell-cal)
buravtsovps	2755	1000	S	?	(evolution-sourc)
buravtsovps	2756	1000	S	?	(dconf-service)
buravtsovps	2762	1000	S	?	(gvfs-udisks2-vo)
buravtsovps	2767	1000	S	?	(gvfs-afc-volume)
buravtsovps	2772	1000	S	?	(goa-daemon)
buravtsovps	2775	1000	S	?	(gvfs-gphoto2-vo)
buravtsovps	2779	1000	S	?	(gvfs-mtp-volume)
buravtsovps	2783	1000	S	?	(gvfs-goa-volume)
buravtsovps	2792	1000	S	?	(goa-identity-se)
buravtsovps	2798	1000	S	?	(evolution-calen)
buravtsovps	2811	1000	S	?	(evolution-addre)
buravtsovps	2814	1000	S	?	(gvfsd-trash)
buravtsovps	2818	1000	S	?	(snapd-desktop-i)
buravtsovps	2830	1000	S	?	(gjs)
buravtsovps	2832	1000	S	?	(at-spi2-registr)
buravtsovps	2855	1000	S	?	(sh)
buravtsovps	2856	1000	S	?	(gsd-a11y-settin)
buravtsovps	2859	1000	S	?	(gsd-color)
buravtsovps	2861	1000	S	?	(gsd-datetime)
buravtsovps	2862	1000	S	?	(ibus-daemon)
buravtsovps	2864	1000	S	?	(gsd-housekeepin)
buravtsovps	2865	1000	S	?	(gsd-keyboard)
buravtsovps	2866	1000	S	?	(gsd-media-keys)
buravtsovps	2867	1000	S	?	(gsd-power)
buravtsovps	2868	1000	S	?	(gsd-print-notif)
buravtsovps	2869	1000	S	?	(gsd-rfkill)
buravtsovps	2870	1000	S	?	(gsd-screensaver)
buravtsovps	2871	1000	S	?	(gsd-sharing)
buravtsovps	2880	1000	S	?	(gsd-smartcard)
buravtsovps	2887	1000	S	?	(gsd-sound)
buravtsovps	2889	1000	S	?	(gsd-wacom)
buravtsovps	2896	1000	S	?	(xdg-desktop-por)
buravtsovps	2932	1000	S	?	(evolution-alarm)
buravtsovps	2948	1000	S	?	(VBoxClient)
buravtsovps	2950	1000	S	?	(VBoxClient)
buravtsovps	2951	1000	S	?	(ibus-dconf)
buravtsovps	2955	1000	S	?	(ibus-extension-)
buravtsovps	2960	1000	S	?	(gsd-disk-utilit)
buravtsovps	2977	1000	S	?	(ibus-portal)
buravtsovps	3006	1000	S	?	(gsd-printer)
buravtsovps	3039	1000	S	?	(Xwayland)
buravtsovps	3045	1000	S	?	(xdg-desktop-por)
buravtsovps	3050	1000	S	?	(snap-store)
buravtsovps	3056	1000	S	?	(expressvpn-brow)
root	3086	0	I	?	(kworker/5:3-events)
buravtsovps	3096	1000	S	?	(ibus-engine-sim)
buravtsovps	3102	1000	S	?	(gvfsd-metadata)
buravtsovps	3200	1000	S	?	(tracker-miner-f)
buravtsovps	3216	1000	S	?	(gsd-xsettings)
buravtsovps	3234	1000	S	?	(gjs)
buravtsovps	3264	1000	S	?	(gjs)
buravtsovps	3292	1000	S	?	(xdg-desktop-por)
buravtsovps	3301	1000	S	?	(ibus-x11)
buravtsovps	3316	1000	S	?	(VBoxClient)
buravtsovps	3317	1000	S	?	(VBoxClient)
buravtsovps	3324	1000	S	?	(VBoxClient)
buravtsovps	3325	1000	S	?	(VBoxClient)
buravtsovps	3329	1000	S	?	(VBoxClient)
buravtsovps	3331	1000	S	?	(VBoxClient)
root	3426	0	S	?	(fwupd)
root	4021	0	S	?	(nm-openvpn-serv)
nm-openvpn	4027	120	S	?	(openvpn)
buravtsovps	4028	1000	S	?	(firefox)
postfix	4231	132	S	?	(pickup)
postfix	4232	132	S	?	(qmgr)
buravtsovps	4248	1000	S	?	(code)
buravtsovps	4260	1000	S	?	(code)
buravtsovps	4261	1000	S	?	(code)
buravtsovps	4264	1000	S	?	(code)
buravtsovps	4328	1000	S	?	(chrome_crashpad)
buravtsovps	4348	1000	S	?	(code)
buravtsovps	4384	1000	S	?	(terminator)
buravtsovps	4386	1000	S	?	(code)
buravtsovps	4398	1000	S		(Socket
buravtsovps	4427	1000	S	?	(code)
buravtsovps	4450	1000	S		(Privileged
buravtsovps	4545	1000	S	pts/0	(bash)
buravtsovps	4559	1000	S	?	(snap)
buravtsovps	4710	1000	S	?	(WebExtensions)
buravtsovps	4748	1000	S	?	(gnome-terminal-)
buravtsovps	4931	1000	S	pts/1	(bash)
buravtsovps	5056	1000	S	?	(code)
buravtsovps	5073	1000	S		(Web
buravtsovps	5084	1000	S		(Web
buravtsovps	5102	1000	S		(Web
buravtsovps	5138	1000	S	?	(code)
buravtsovps	5146	1000	S	?	(code)
buravtsovps	5186	1000	S	?	(code)
buravtsovps	5229	1000	S	?	(code)
buravtsovps	5358	1000	S	?	(nautilus)
buravtsovps	6037	1000	S	?	(update-notifier)
root	7940	0	I	?	(kworker/u16:0-events_power_efficient)
root	8136	0	I	?	(kworker/4:2-events)
root	8392	0	I	?	(kworker/u16:3-events_unbound)
buravtsovps	8428	1000	S	?	(code)
root	8491	0	I	?	(kworker/3:0)
root	8534	0	I	?	(kworker/1:0-events)
root	8570	0	I	?	(kworker/0:0-events)
root	8574	0	I	?	(kworker/2:0)
root	8575	0	I	?	(kworker/4:0-events)
root	8588	0	I	?	(kworker/5:1-mm_percpu_wq)
buravtsovps	8593	1000	S		(sudo)
buravtsovps	8594	1000	S		(sudo)
root	8595	0	S	pts/2	(ps_ax.sh)
buravtsovps@otus:~/OTUS/module1/lesson10-process$ 

